nombre_cientifico,Nombre común (ES),Nombre común (EN),Superorden,Orden,Suborden,Familia,Subfamilia,Género,mardex_id,mardex_cat,mardex_code,mardex_size,mardex_habitat,mardex_depth,mardex_speed,mardex_diet,mardex_rarity,mardex_blurb
Carcharhinus melanopterus,Tiburón de puntas negras de arrecife,Blacktip reef shark,Galeomorphii,Carcharhiniformes,,Carcharhinidae,,Carcharhinus,puntanegraarrecife,tiburon,TBR-31,1.8 m,Arrecifes de coral someros y lagunas,0–20 m,Moderada,"Peces pequeños, cefalópodos y crustáceos",2,"Reconocible por las puntas negras de todas sus aletas, sobre todo la dorsal. Habitual en aguas muy someras junto a la orilla de arrecifes y lagunas, donde se le ve nadar en corros al atardecer."
Sarpa salpa,Salpa,Salema,Acanthopterygii,Spariformes,,Sparidae,,Sarpa,salpa,pez,PEZ-01,0.5 m,Praderas de posidonia y fondos rocosos someros,0–70 m,Moderada,Herbívoro: algas y posidonia,1,"Uno de los peces más comunes del Mediterráneo, fácil de reconocer por las líneas doradas a lo largo del cuerpo. Forma grandes bancos que pastan sobre las praderas de posidonia."
Diplodus sargus,Sargo,White seabream,Acanthopterygii,Spariformes,,Sparidae,,Diplodus,sargo,pez,PEZ-02,0.45 m,Fondos rocosos y praderas de posidonia,0–50 m,Moderada,"Moluscos, crustáceos y algas",1,Cuerpo plateado con bandas verticales oscuras y una franja negra característica en el pedúnculo caudal. Uno de los sargos más comunes en fondos rocosos costeros.
Diplodus cervinus,Sargo real,Zebra seabream,Acanthopterygii,Spariformes,,Sparidae,,Diplodus,sargoreal,pez,PEZ-03,0.6 m,Fondos rocosos,2–80 m,Moderada,Invertebrados bentónicos,3,"El mayor de los sargos mediterráneos, con bandas verticales más anchas y marcadas que sus parientes. Menos habitual que el sargo común, suele verse en solitario junto a paredes rocosas."
Sparus aurata,Dorada,Gilthead seabream,Acanthopterygii,Spariformes,,Sparidae,,Sparus,dorada,pez,PEZ-04,0.7 m,"Fondos arenosos, praderas y estuarios",0–150 m,Moderada,"Moluscos y crustáceos, que tritura con sus fuertes dientes",3,"Reconocible por la banda dorada entre los ojos que le da nombre. Muy apreciada en gastronomía, se acerca a veces a puertos y zonas costeras poco profundas."
Dentex dentex,Denton,Common dentex,Acanthopterygii,Spariformes,,Sparidae,,Dentex,denton,pez,PEZ-05,1 m,Fondos rocosos y aguas abiertas cercanas a la costa,5–200 m,Rápida,Peces y cefalópodos,4,"Depredador activo de perfil frontal muy abrupto, capaz de alcanzar tallas grandes. Escaso en la actualidad por la presión de la pesca, es uno de los peces más buscados por los buceadores."
Boops boops,Boga,Bogue,Acanthopterygii,Spariformes,,Sparidae,,Boops,boga,pez,PEZ-06,0.3 m,Aguas costeras abiertas,0–350 m,Rápida,Zooplancton y pequeños invertebrados,1,Pez pequeño y plateado que forma bancos numerosos cerca de la superficie. Uno de los avistamientos más frecuentes al bucear en la costa mediterránea.
Diplodus vulgaris,Mojarra,Common two-banded seabream,Acanthopterygii,Spariformes,,Sparidae,,Diplodus,mojarra,pez,PEZ-07,0.3 m,Fondos rocosos y praderas de posidonia,0–160 m,Moderada,Pequeños invertebrados y algas,1,"Sargo pequeño y muy común, con una única banda oscura junto a la cola bordeada de amarillo. Suele verse en grupos alrededor de rocas y praderas."
Chromis chromis,Castañuela,Damselfish,Acanthopterygii,Perciformes,,Pomacentridae,,Chromis,castanuela,pez,PEZ-08,0.15 m,Paredes rocosas,3–40 m,Rápida,Zooplancton,1,"Pequeño pez oscuro que forma densas nubes sobre las paredes rocosas, alimentándose de plancton en la columna de agua. También se le conoce como damisela; es uno de los pomacéntridos más comunes del Mediterráneo."
Epinephelus marginatus,Mero,Dusky grouper,Acanthopterygii,Perciformes,Serranoidei,Serranidae,,Epinephelus,mero,pez,PEZ-09,1.5 m,Cuevas y paredes rocosas,0–50 m,Lenta,"Peces y crustáceos, cazador de emboscada",4,"Gran depredador de cuevas y grietas, curioso y confiado con los buceadores allí donde está protegido. Sus poblaciones se recuperan lentamente tras décadas de sobrepesca."
